,"Inflation Rate"
"1960",3.57
"1961",5.37
"1962",6.84
"1963",6.71
"1964",3.8
"1965",6.66
"1966",5.04
"1967",3.99
"1968",5.34
"1969",5.25
"1970",6.92
"1971",6.4
"1972",4.84
"1973",11.61
"1974",23.22
"1975",11.73
"1976",9.37
"1977",8.16
"1978",4.21
"1979",3.7
"1980",7.78
"1981",4.91
"1982",2.74
"1983",1.9
"1984",2.26
"1985",2.03
"1986",0.6
"1987",0.13
"1988",0.68
"1989",2.27
"1990",3.08
"1991",3.25
"1992",1.76
"1993",1.24
"1994",0.7
"1995",-0.13
"1996",0.14
"1997",1.75
"1998",0.66
"1999",-0.34
"2000",-0.68
"2001",-0.74
"2002",-0.92
"2003",-0.26
"2004",-0.01
"2005",-0.28
"2006",0.25
"2007",0.06
"2008",1.38
"2009",-1.35
"2010",-0.73
"2011",-0.27
"2012",-0.04
"2013",0.34
"2014",2.76
"2015",0.8
"2016",-0.13
"2017",0.48
"2018",0.99
"2019",0.47
"2020",-0.02
"2021",-0.23
"2022",2.5
"2023",3.27
"2024",2.74